City,Country,student_score,coffee_affordability,coffee_relative_price,relative_cost_of_living
Debrecen,Hungary,0.14850195372784178,0.03209673173755402,0.30421398453061543,0.20594696249940064
Budapest,Hungary,0.1535451900161153,0.027385600355272655,0.3056746011256261,0.24075004750395565
Coimbra,Portugal,0.15411089037992845,0.03318979098834156,0.24159813012658782,0.3251827792389067
Braga,Portugal,0.15428568595892606,0.03554446956115052,0.26466674129074785,0.2855671439556322
Seville,Spain,0.15762552506294264,0.027153201219512195,0.2709692754344959,0.3137907091141889
Rome,Italy,0.1597109363395642,0.0209348202423608,0.14794993818483582,0.5242927238146653
Porto,Portugal,0.16852980953083516,0.03824975831196671,0.28991773527370374,0.3121480489637034
Valencia,Spain,0.1706336605909201,0.025027399276986245,0.30625867920582917,0.3312117859533911
Lisbon,Portugal,0.17617848736431085,0.03941501220936405,0.30950280807922914,0.3181006941793003
Barcelona,Spain,0.1766821587736806,0.028632039251922904,0.25324053328509705,0.43196989581095024
Rio de Janeiro,Brazil,0.17865521818776245,0.07911058605122147,0.34278438861955823,0.18132304288142126
Bogota,Colombia,0.1799345781352512,0.08479055125347548,0.33773977170203584,0.1810868549895136
Madrid,Spain,0.18024201578085547,0.026052200891415758,0.2686523101146447,0.43310111150377095
Montreal,Canada,0.19613416101060832,0.02776581136749145,0.33699505448816136,0.40576369490207087
Wellington,New Zealand,0.19774365280699824,0.027169287785703045,0.3338830394519853,0.4199704853927556
Sydney,Australia,0.1978514011136506,0.02270378605204647,0.2888271554437872,0.499256807272456
Melbourne,Australia,0.20127646881954636,0.021420971412868084,0.32773882542286087,0.4612216774312702
Adelaide,Australia,0.20131142626020243,0.026447698782154947,0.3256325632563256,0.4519890394611364
Auckland,New Zealand,0.20196131532149322,0.028044425931873028,0.33883654594174084,0.4314406928651722
Brno,Czech Republic,0.2023757989315781,0.03924409176414625,0.4166333614122248,0.2888187231291876
Christchurch,New Zealand,0.20242192585255014,0.034051139767317204,0.3117533808076825,0.45935170863293384
Ostrava,Czech Republic,0.20444091680869803,0.038534379238034926,0.46346908922934793,0.23066500210438082
Katowice,Poland,0.20504297355916098,0.039255677943715095,0.46678719857240125,0.2268948750779154
Canberra,Australia,0.2054229737533207,0.025653585275340177,0.2963774942194056,0.5184146642491445
Brisbane,Australia,0.20585682805712288,0.023899651907405343,0.3043151697235481,0.5130622559317789
Perth,Australia,0.20817543696052887,0.025513797383241155,0.32445899359772884,0.49040420094794807
Nijmegen,Netherlands,0.20839104578889797,0.029295869563182673,0.3003035930893167,0.5182601654025581
Vancouver,Canada,0.20937085621962787,0.028319277591258428,0.34631765232103623,0.4565796086384389
Toronto,Canada,0.20973257948037738,0.02783478336271931,0.33641375748116376,0.474455302773343
Tokyo,Japan,0.20981559482803858,0.032813459026455355,0.43076207921285203,0.32090120775477654
Cologne,Germany,0.2101593594204952,0.02801876038738982,0.3384981584588873,0.4730026584456705
The Hague,Netherlands,0.21024169972346948,0.02173454269347333,0.337800384753334,0.4901715647536631
Toulouse,France,0.2118171731798653,0.03358835603657399,0.3096914215754473,0.5105778434447205
Prague,Czech Republic,0.2119264066622825,0.03487934857305862,0.4502334255877483,0.2970835234971435
Calgary,Canada,0.2127723994922989,0.031623990749982706,0.3692804800646242,0.4308813004896014
Olomouc,Czech Republic,0.21363500583226205,0.04247065720379679,0.4867327794157062,0.23189921702825908
Ottawa,Canada,0.21395660724820373,0.025338451234240802,0.24351310304714513,0.6411672535846988
Edmonton,Canada,0.21460793573733916,0.03369813564803705,0.369133817131009,0.43509361387008955
Stuttgart,Germany,0.21628598304620145,0.02676704090232761,0.36381819697095974,0.46878501751874846
Buenos Aires,Argentina,0.21877524062197085,0.07692700227081366,0.4544096630683148,0.21994420283034782
Rotterdam,Netherlands,0.218881544301735,0.027069998568536428,0.3529457976096528,0.49731402867285485
Szczecin,Poland,0.219117401336185,0.042252249541063526,0.5069637883008357,0.22951070037701268
Berlin,Germany,0.21990676509880772,0.028162917472641935,0.3945231288981289,0.4373418384652404
Eindhoven,Netherlands,0.22018611443498054,0.02672991585303026,0.33264530002455683,0.5351378325054919
Hamburg,Germany,0.22086367464835804,0.026728317630341558,0.39666104823822135,0.4425060068086043
Maastricht,Netherlands,0.2211282303221011,0.03087361875441519,0.329522372082354,0.5341735466009365
Antwerp,Belgium,0.22278594281431882,0.03388502143746255,0.2798506919049021,0.6094411226205846
Bangkok,Thailand,0.2244198605625244,0.08530561717878636,0.424886191198786,0.2715059730674769
Munich,Germany,0.2251211182801678,0.024769137262846946,0.3633960338740441,0.5185886974326555
Lyon,France,0.22649744369780522,0.03430932615361603,0.3576773942039276,0.5101978117990947
Winnipeg,Canada,0.22692911289168707,0.039258902128245746,0.42295698877238236,0.4020628259792474
Utrecht,Netherlands,0.22745347570202507,0.026790988102269854,0.325431422374478,0.5821427746927338
Lublin,Poland,0.22833452133349877,0.049215854391282926,0.5259252388461183,0.22974511242010895
Groningen,Netherlands,0.22838707338546504,0.036502831435843805,0.35274809836087906,0.5215561407963971
London,United Kingdom,0.22944775473323525,0.02499143694419425,0.34987345947214527,0.5599499920974728
Brussels,Belgium,0.22964577559729543,0.032260062268113204,0.35337416826900836,0.5375174699126816
Santiago,Chile,0.23163575286717025,0.08696881849678285,0.4431576915653348,0.276020180745892
Warsaw,Poland,0.23176600274823383,0.042510650591801445,0.49460632149410894,0.3106439050205022
Amsterdam,Netherlands,0.2330652878499771,0.024846226723360183,0.32724889360640813,0.6123375320318729
Philadelphia,United States,0.2340522542401134,0.028045834098647866,0.42036318532132294,0.46960190797196294
Seoul,South Korea,0.236532574287439,0.034297191798991926,0.48265517487678866,0.37293712962453224
Austin,United States,0.23686929258678757,0.02412621369106638,0.4718550816147171,0.4162483062841962
Chicago,United States,0.23820058085203913,0.024577348454107858,0.40000804845167914,0.5295474604474073
Boston,United States,0.23836598326822062,0.021297399449488517,0.35058633942183404,0.6127069085846307
Vienna,Austria,0.23975878791236432,0.032401738786378434,0.44263578024730005,0.45383592222492547
Houston,United States,0.24117923405744585,0.027176816239316236,0.4740018550792153,0.42695134707011584
Dallas,United States,0.24134483445167382,0.02629778499957239,0.47379672964696357,0.4302846152889928
Stockholm,Sweden,0.24373310639772852,0.035660796507970084,0.36205946302790243,0.5864243461768638
Atlanta,United States,0.24416581169586155,0.024864000562958503,0.4790438491366961,0.4401032833668673
Miami,United States,0.24433405631610908,0.030846558520537505,0.30407174456047426,0.6884462684384902
Phoenix,United States,0.24537236125784515,0.030903206481637073,0.4645780788496162,0.4527366718107087
Paris,France,0.24557097803433076,0.03337041156840934,0.36328951188155767,0.5994945934282938
Gothenburg,Sweden,0.24659168830547784,0.03436863543788187,0.381800473076388,0.5743361433181025
San Francisco,United States,0.24711057045724155,0.019601342268844964,0.378176562688185,0.6192846525818178
